date,est_ridership,pre_pandemic_ratio,est_pre_pandemic_ridership
2021-10,3227068,0.56,5762621
2021-10,2042027,0.61,3347585
2021-10,1629991,0.66,2469683
2021-10,2982883,0.52,5736313
2021-10,3178208,0.55,5778559
2021-10,3234327,0.56,5775583
2021-10,3267697,0.57,5732801
2021-10,3225816,0.56,5760385
2021-10,2077488,0.62,3350787
2021-10,1599927,0.65,2461426
2021-10,2994936,0.52,5759492
2021-10,2702635,0.47,5750287
2021-10,3300580,0.57,5790491
2021-10,3365971,0.59,5705035
2021-10,3251779,0.57,5704875
2021-10,2044310,0.61,3351327
2021-10,1746769,0.71,2460238
2021-11,3034306,0.54,5619085
2021-11,2848222,0.51,5584749
2021-11,3293732,0.58,5678848
2021-11,3284315,0.58,5662612
2021-11,3293438,0.58,5678341
2021-11,2195864,0.69,3182411
2021-11,1888985,0.75,2518646
2021-11,3065533,0.54,5676912
2021-11,3279457,0.58,5654236
2021-11,3351992,0.59,5681342
2021-11,2922235,1.16,2519168
2021-11,3158682,0.56,5640503
2021-11,2169863,0.69,3144728
2021-11,1703136,0.68,2504611
2021-11,3110969,0.55,5656307
2021-11,3340844,0.59,5662447
2021-11,3369069,0.6,5615115
2021-11,3412249,0.61,5593850
2021-11,3316999,0.59,5622032
2021-11,2135731,0.68,3140780
2021-11,1674206,0.66,2536675
2021-11,3130363,0.56,5589933
2021-11,3286591,0.58,5666536
2021-11,3085289,0.55,5609616
2021-11,1357198,0.54,2513329
2021-11,2089772,0.83,2517797
2021-11,1880422,0.6,3134036
2021-11,1465745,0.58,2527146
2021-11,2996015,0.53,5652858
2021-11,3207209,0.57,5626682
2021-12,3326469,0.62,5365272
2021-12,3358843,0.63,5331496
2021-12,3374097,0.63,5355709
2021-12,2318147,0.7,3311638
2021-12,1737352,0.68,2554929
2021-12,3135869,0.59,5315032
2021-12,3367790,0.63,5345698
2021-12,3378727,0.63,5363058
2021-12,3433600,0.64,5365000
2021-12,3417451,0.64,5339767
2021-12,2266265,0.68,3332742
2021-12,1829872,0.72,2541488
2021-12,3120850,0.58,5380775
2021-12,3274170,0.61,5367491
2021-12,3242168,0.61,5315029
2021-12,3219799,0.6,5366331
2021-12,3112088,0.58,5365668
2021-12,1880969,0.57,3299945
2021-12,1579809,0.62,2548079
2021-12,2716451,0.51,5326374
2021-12,2697325,0.51,5288872
2021-12,2634565,0.49,5376663
2021-12,2486489,0.47,5290402
2021-12,1575449,0.62,2541046
2021-12,810937,0.24,3378904
2021-12,1284738,0.51,2519094
2021-12,2007649,0.38,5283286
2021-12,2168419,0.41,5288826
2021-12,2167077,0.41,5285553
2021-12,2198415,0.41,5361987
2021-12,1627589,0.64,2543107
2022-01,1027918,0.38,2705047
2022-01,1219735,0.58,2102991
2022-01,2168229,0.42,5162450
2022-01,2289352,0.45,5087448
2022-01,2267942,0.44,5154413
2022-01,2391176,0.46,5198208
2022-01,2121941,0.41,5175465
2022-01,1486065,0.55,2701936
2022-01,1102472,0.53,2080135
2022-01,2347323,0.46,5102876
2022-01,2266378,0.44,5150859
2022-01,2459224,0.48,5123383
2022-01,2524197,0.49,5151422
2022-01,2522972,0.49,5148922
2022-01,1434676,0.53,2706935
2022-01,1165626,0.56,2081474
2022-01,1600048,0.77,2077984
2022-01,2541044,0.49,5185804
2022-01,2642129,0.51,5180645
2022-01,2545486,0.49,5194869
2022-01,2565781,0.5,5131562
2022-01,1583650,0.58,2730431
2022-01,1245716,0.6,2076193
2022-01,2536827,0.49,5177197
2022-01,2701246,0.53,5096690
2022-01,2711803,0.53,5116609
2022-01,2724979,0.53,5141469
2022-01,2703403,0.53,5100760
2022-01,999347,0.37,2700937
2022-01,1262477,0.6,2104128
2022-01,2575762,0.5,5151524
2022-02,2635083,0.49,5377720
2022-02,2940152,0.54,5444725
2022-02,2914198,0.54,5396662
2022-02,2725725,0.5,5451450
2022-02,1792780,0.63,2845682
2022-02,1323892,0.6,2206486
2022-02,2784230,0.51,5459274
2022-02,3016648,0.56,5386871
2022-02,3088775,0.57,5418903
2022-02,3112489,0.57,5460507
2022-02,3015472,0.56,5384771
2022-02,2026308,0.71,2853954
2022-02,1349864,0.62,2177200
2022-02,2907825,0.54,5384861
2022-02,3030742,0.56,5412039
2022-02,3100639,0.57,5439717
2022-02,3109956,0.57,5456063
2022-02,2953785,0.54,5469972
2022-02,1792136,0.62,2890541
2022-02,1477125,0.67,2204664
2022-02,1942267,0.89,2182322
2022-02,2669508,0.49,5447975
2022-02,2894245,0.53,5460839
2022-02,2858146,0.53,5392728
2022-02,2575630,0.47,5480063
2022-02,1824833,0.64,2851301
2022-02,1403227,0.64,2192542
2022-02,2915786,0.54,5399603
2022-03,3138181,0.56,5603894
2022-03,3208166,0.58,5531320
2022-03,3207495,0.58,5530163
2022-03,3077537,0.55,5595521
2022-03,1955535,0.64,3055523
2022-03,1444501,0.63,2292858
2022-03,2980920,0.54,5520222
2022-03,3244473,0.58,5593918
2022-03,3113559,0.56,5559926
2022-03,3339363,0.6,5565605
2022-03,3195956,0.57,5606940
2022-03,1663893,0.54,3081283
2022-03,1479406,0.65,2276009
2022-03,3008800,0.54,5571851
2022-03,3275906,0.59,5552383
2022-03,3332335,0.6,5553891
2022-03,3175784,0.57,5571550
2022-03,3275433,0.59,5551581
2022-03,2001839,0.65,3079752
2022-03,1656673,0.72,2300934
2022-03,3034759,0.55,5517743
2022-03,3276940,0.59,5554135
2022-03,3275708,0.59,5552047
2022-03,3212181,0.58,5538243
2022-03,3218970,0.58,5549948
2022-03,2024596,0.66,3067569
2022-03,1534056,0.67,2289635
2022-03,2989874,0.54,5536803
2022-03,3291883,0.59,5579462
2022-03,3336073,0.6,5560121
2022-03,3323135,0.6,5538558
2022-04,3237107,0.58,5581218
2022-04,2128435,0.67,3176768
2022-04,1463932,0.6,2439886
2022-04,3127667,0.56,5585119
2022-04,3356454,0.6,5594090
2022-04,3311547,0.59,5612791
2022-04,3307076,0.59,5605213
2022-04,3347754,0.6,5579590
2022-04,2190396,0.69,3174486
2022-04,1707748,0.7,2439640
2022-04,3205728,0.57,5624084
2022-04,3078069,0.55,5596489
2022-04,3220964,0.58,5553386
2022-04,3297697,0.59,5589316
2022-04,2761532,0.5,5523064
2022-04,1986306,0.63,3152866
2022-04,1512633,0.62,2439730
2022-04,2676254,0.48,5575529
2022-04,2962130,0.53,5588924
2022-04,3098046,0.56,5532224
2022-04,3033422,0.54,5617448
2022-04,2985684,0.54,5529044
2022-04,2109188,0.67,3148041
2022-04,1655860,0.68,2435088
2022-04,3026541,0.54,5604705
2022-04,3281657,0.59,5562130
2022-04,3432282,0.62,5535938
2022-04,3404938,0.61,5581865
2022-04,3257634,0.58,5616610
2022-04,2108746,0.67,3147382
2022-05,1683953,0.7,2405647
2022-05,2732825,0.48,5693385
2022-05,3402882,0.6,5671470
2022-05,3364902,0.59,5703223
2022-05,3502522,0.61,5741839
2022-05,3190556,0.56,5697421
2022-05,1842808,0.57,3232996
2022-05,1582133,0.66,2397171
2022-05,3114506,0.54,5767603
2022-05,3412902,0.6,5688170
2022-05,3440378,0.6,5733963
2022-05,3430104,0.6,5716840
2022-05,3252002,0.57,5705266
2022-05,2149046,0.67,3207531
2022-05,1760359,0.74,2378863
2022-05,3080043,0.54,5703783
2022-05,3536021,0.62,5703259
2022-05,3605606,0.63,5723184
2022-05,3467327,0.61,5684142
2022-05,3271914,0.57,5740200
2022-05,2324245,0.72,3228118
2022-05,1760638,0.74,2379240
2022-05,3111755,0.54,5762509
2022-05,3378506,0.59,5726281
2022-05,3426530,0.6,5710883
2022-05,3341059,0.58,5760446
2022-05,3031130,0.53,5719113
2022-05,1872775,0.58,3228922
2022-05,1755236,0.73,2404432
2022-05,1694970,0.71,2387281
2022-05,3176109,0.56,5671623
